id	text
1	a,assenmuncher\0
2	a,assrapingyak\0
3	a,azzholelicka\0
4	a,biggaykiller\0
5	a,biggaypecker\0
6	a,bigjuicynuts\0
7	a,bitchslapper\0
8	a,buttburgelor\0
9	a,chinesewhore\0
10	a,chingachgook\0
11	a,cockandballs\0
12	a,cumofsomeguy\0
13	a,cumonmytummy\0
14	a,flameinghomo\0
15	a,fothermucker\0
16	a,fucckubittch\0
17	a,fuckingyamom\0
18	a,fuckinstoned\0
19	a,fukedatbirth\0
20	a,fukingfisher\0
21	a,fukinggayman\0
22	a,fukingroovin\0
23	a,fukmerunning\0
24	a,fukyouanddie\0
25	a,futhermucker\0
26	a,hoochiemomma\0
27	a,hugherection\0
28	a,hughgrection\0
29	a,hughgrekshon\0
30	a,hughgrekshyn\0
31	a,japkillerusa\0
32	a,jewboynigger\0
33	a,lickalotpuss\0
34	a,lickdesenuts\0
35	a,lickityoufuc\0
36	a,lickmycrotch\0
37	a,lickmyownpee\0
38	a,lickmywetbox\0
39	a,masturbating\0
40	a,masturbation\0
41	a,nazibastards\0
42	a,nazijewraper\0
43	a,naziskinhead\0
44	a,nigletmaster\0
45	a,nipplelicker\0
46	a,pooponastick\0
47	a,schitzngrins\0
48	a,slutznwhorez\0
49	a,assenlarger\0
50	a,assphincter\0
51	a,asssinahole\0
52	a,asssssshole\0
53	a,asssstomper\0
54	a,assynipples\0
55	a,azzmunshkin\0
56	a,bigassballs\0
57	a,bigbutthole\0
58	a,biggusdikus\0
59	a,bigknockers\0
60	a,bigusdikkus\0
61	a,bitchfucker\0
62	a,bitchnigger\0
63	a,bitemyprick\0
64	a,buttblister\0
65	a,buttboinker\0
66	a,buttburglar\0
67	a,buttcracker\0
68	a,buttknocker\0
69	a,buttmuncher\0
70	a,buttslammer\0
71	a,buttsmacker\0
72	a,buttsniffer\0
73	a,cameljockey\0
74	a,cungalingus\0
75	a,cunnilingus\0
76	a,cunningilus\0
77	a,elassowippo\0
78	a,europesucks\0
79	a,fuckyoucock\0
80	a,fuckyoucunt\0
81	a,fudgepacker\0
82	a,fudgepacker\0
83	a,fukengruven\0
84	a,fukengruvin\0
85	a,fukinggooks\0
86	a,fukinrapist\0
87	a,fuksuckblow\0
88	a,fukuazzhole\0
89	a,fukubizzach\0
90	a,fukuinyours\0
91	a,fukyallmofo\0
92	a,hughjassole\0
93	a,hughjaynuss\0
94	a,hughjorgans\0
95	a,jewishwhore\0
96	a,killaniggga\0
97	a,lickemballs\0
98	a,lickmyballs\0
99	a,lickmycrack\0
100	a,likmiclitty\0
101	a,masterbator\0
102	a,masterbator\0
103	a,nigazbiotch\0
104	a,nigerbeater\0
105	a,nigromancer\0
106	a,nipalicious\0
107	a,phuckorigin\0
108	a,phuckwhitey\0
109	a,phukuashole\0
110	a,porchmonkey\0
111	a,pusssylicka\0
112	a,pussylicker\0
113	a,vaginallips\0
114	a,asscracker\0
115	a,assgrabber\0
116	a,assholious\0
117	a,asshorisin\0
118	a,asskickboy\0
119	a,asslessone\0
120	a,asslicking\0
121	a,assmasters\0
122	a,assmoankey\0
123	a,assmuncher\0
124	a,assmunchin\0
125	a,assphucker\0
126	a,asstronaut\0
