tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt1	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	items[9]	items[10]	items[11]	items[12]	items[13]	cnt2	num_items[0]	num_items[1]	num_items[2]	num_items[3]	num_items[4]	num_items[5]	num_items[6]	num_items[7]	num_items[8]	num_items[9]	num_items[10]	num_items[11]	num_items[12]	num_items[13]	quest_x	quest_y	quest_z	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_1	UNK_2	contact_npc_id	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	cnt3	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	req_class[36]	req_class[37]	req_class[38]	req_class[39]	req_class[40]	req_class[41]	req_class[42]	req_class[43]	req_class[44]	req_class[45]	req_class[46]	req_class[47]	req_class[48]	req_class[49]	req_class[50]	req_class[51]	req_class[52]	req_class[53]	req_class[54]	req_class[55]	req_class[56]	req_class[57]	req_class[58]	req_class[59]	req_class[60]	req_class[61]	req_class[62]	req_class[63]	req_class[64]	req_class[65]	req_class[66]	req_class[67]	req_class[68]	cnt4	req_item[0]	req_item[1]	req_item[2]	req_item[3]	req_item[4]	clan_pet_quest	req_quest_complete	UNK_3	area_id	UNK_4	cnt5	tab5[0]	tab5[1]	tab5[2]	tab5[3]	tab5[4]	tab5[5]	tab5[6]	tab5[7]	tab5[8]	tab5[9]	tab5[10]	cnt6	tab6[0]	tab6[1]	tab6[2]	tab6[3]	tab6[4]	tab6[5]	tab6[6]	tab6[7]	tab6[8]	tab6[9]	tab6[10]	cnt7	tab7[0]	tab7[1]	tab7[2]	tab7[3]
1	1	1	u,愛情隨信\0	u,傳達情書\0	u,說話之島的青年達靈暗戀著守門人拉普吉兒，但沒有勇氣表白自己的真心。達靈請求替他將情書轉達給拉普吉兒。\\n\0	0															0															-84108.00000000	244604.00000000	-3729.00000000	2	5	3	u,守門人 拉普吉兒\0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,沒有條件限制\0	u,說話之島的青年達靈暗戀著守門人拉普吉兒。但沒有勇氣的達靈，因不敢轉達自己的真心而感到猶豫...。\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	0			
1	1	2	u,愛情隨信\0	u,拉普吉兒的手帕\0	u,收到達靈之信的拉普吉兒說是自己也對達靈深有好感，於是要求轉達手帕來代替回信。帶著拉普吉兒的手帕再訪村莊廣場的達靈。\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	u,達靈\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,沒有條件限制\0	u,說話之島的青年--達靈暗戀著守門人 拉普吉兒。但沒有勇氣的達靈，因不敢轉達自己的真心而感到猶豫...\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	1			
1	1	3	u,愛情隨信\0	u,巴烏洛的魔法藥水\0	u,知道拉普吉兒心意的達靈感到非常高興，說是要去找她並要向她提出交往意願。但他說首先必須得向教師巴烏洛取得魔法藥水，因此請求替他去神殿拿回那藥水。\\n\0	0															0															-84729.00000000	245001.00000000	-3726.00000000	2	5	3	u,教師 巴烏洛\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,沒有條件限制\0	u,說話之島的青年達靈暗戀著守門人拉普吉兒。但沒有勇氣的達靈，因不敢轉達自己的真心而感到猶豫...。\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	2			
1	1	4	u,愛情隨信\0	u,引導勇氣的水\0	u,教師巴烏洛說這只不過是想讓達靈鼓起勇氣而編出的謊言，於是就交出了裝有普通井水的藥瓶。將此交給村莊廣場的達靈。\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	u,達靈\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,沒有條件限制\0	u,說話之島的青年達靈暗戀著守門人拉普吉兒。但沒有勇氣的達靈，因不敢轉達自己的真心而感到猶豫...。\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	3			
1	1	-1	u,愛情隨信\0	a,	a,	0															0															0.00000000	0.00000000	0.00000000	2	5	3	a,	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,沒有條件限制\0	u,說話之島的青年--達靈暗戀著守門人 拉普吉兒。但沒有勇氣的達靈，因不敢轉達自己的真心而感到猶豫...\0	0																																																																						0						0	0	0	30	0	4	15623	15624	57	906								4	5672	446	2466	1								1	4			
1	2	1	u,女人的心\0	u,阿路基恩的信\0	u,精靈村莊的青年阿路基恩，坦承表示一直很傾心於教師葛雷妮絲，且請求你幫他試探葛雷妮絲對他的心意如何。首先將阿路基恩的信交給葛雷妮絲的妹妹守門人米帝爾看看。\\n\0	0															0															46926.00000000	51511.00000000	-2977.00000000	2	5	3	u,守門人 米帝爾\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年阿路基恩，一直很傾心於教師葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從週遭的人們得知的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	0			
1	2	2	u,女人的心\0	u,叔父何布帝恩\0	u,守門人米帝爾表示自己沒興趣，要求去問問商人何布帝恩。去找魔法雜貨商店的何布帝恩，並給他看阿路基恩的信。\\n\0	0															0															42766.00000000	50037.00000000	-2984.00000000	2	5	3	u,何布帝恩\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年阿路基恩，一直很傾心於教師葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從週遭的人們得知的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	1			
1	2	3	u,女人的心\0	u,叔父的助言\0	u,商人何布帝恩認為教師葛雷妮絲似乎對阿路基恩頗有好感。回去找阿路基恩告訴他這個消息。\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	u,阿路基恩\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年阿路基恩，一直很傾心於教師葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從週遭的人們得知的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	2			
1	2	4	u,女人的心\0	u,將心情寫成詩歌\0	u,阿路基恩說為了送給葛雷妮絲禮物親自編寫了詩集，且請求替他轉達給她。拿著阿路基恩的詩集去找教師葛雷妮絲。\\n\0	0															0															45000.00000000	52101.00000000	-2795.00000000	2	5	3	u,教師 葛雷妮絲\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年阿路基恩，一直很傾心於教師葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從週遭的人們得知的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	3			
1	2	5	u,女人的心\0	u,拒絕的信\0	u,教師葛雷妮絲回答她已有心上人，因此不能接受阿路基恩的心意。將葛雷妮絲寫的拒絕信交給阿路基恩。\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	u,阿路基恩\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年阿路基恩，一直很傾心於教師葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從週遭的人們得知的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	4			
1	2	-1	u,女人的心\0	a,	a,	0															0															0.00000000	0.00000000	0.00000000	2	5	3	a,	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,精靈、人類\0	u,精靈村莊的青年--阿路基恩，一直很傾心於教師 葛雷妮絲。但重要的是不知葛雷妮絲對他的心意如何。從周遭的人打聽到的她的真心是...？\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67	0	4	15623	15624	57	113								4	4254	335	1850	1								1	5			
1	3	1	u,解除封印\0	u,儀式的準備\0	u,黑暗精靈--達爾羅斯長老，為了解除褐色精靈族長 米特拉爾身上的封印，正在研究巫術。他要求前往黑魔法學院後，在封印族長的三個階段之巫術中，幫他找來為解除第一階段--肉體封印時所需的瑪瑙獸眼、染色石、魅魔的血。\\n\\n要獵殺的目標怪物 - 瑪瑙獸、腐爛殭屍、血色殭屍、小魅魔、小魅魔圖倫、小魅魔堤佛\\n\0	3	1081	1082	1083												3	1	1	1												-47120.00000000	59136.00000000	-3328.00000000	16	26	3	u,黑魔法學院\0	1	1	1	30141	11012.00000000	14128.00000000	-4242.00000000	u,黑暗精靈\0	u,被背叛的人類們封印了數百年族長米特拉爾，終於找到能解除封印的線索了！幫助達爾羅斯長老解除束縛族長米特拉爾的封印吧！\0	20	31	32	33	34	35	36	37	38	39	40	41	42	43	106	107	108	109	110	111	112																																																		0						0	0	0	67	0	1	956											1	1											1	0			
1	3	2	u,解除封印\0	u,回到長老達爾羅斯\0	u,備齊了巫術所需的材料。回到黑暗精靈達爾羅斯長老處。\\n\0	0															0															11012.00000000	14128.00000000	-4242.00000000	16	26	3	u,長老 達爾羅斯\0	0	1	1	30141	11012.00000000	14128.00000000	-4242.00000000	u,黑暗精靈\0	u,被背叛的人類們封印了數百年族長米特拉爾，終於找到能解除封印的線索了！幫助達爾羅斯長老解除束縛族長米特拉爾的封印吧！\0	20	31	32	33	34	35	36	37	38	39	40	41	42	43	106	107	108	109	110	111	112																																																		0						0	0	0	67	0	1	956											1	1											1	1			
1	3	-1	u,解除封印\0	a,	a,	0															0															0.00000000	0.00000000	0.00000000	16	26	3	a,	1	1	1	30141	11012.00000000	14128.00000000	-4242.00000000	u,黑暗精靈\0	u,由於人類的背叛而被封印數百年之久的族長 米特拉爾，終於找到了能解除封印的線索！幫助長老 達爾羅斯並解除束縛族長 米特拉爾的封印！\0	20	31	32	33	34	35	36	37	38	39	40	41	42	43	106	107	108	109	110	111	112																																																		0						0	0	0	67	0	1	956											1	1											1	2			
