id	name	val1	val2
1	a,SetPrevChatType\0	709	9C5
2	a,SetNextChatType\0	70A	9C6
3	a,TargetCancel\0	70B	9C7
4	a,FocusChatWindow\0	70C	9C8
5	a,TabShowInventoryWindow\0	70D	9C9
6	a,HideAllWindow\0	70E	9CA
7	a,CloseAllWindow\0	70F	9CB
8	a,ShowGMWindow\0	710	9CC
9	a,ShowGMPetitionWindow\0	711	9CD
10	a,ShowPartyBuff\0	712	9CE
11	a,ApplyMinFrame\0	713	9CF
12	a,ShowMessengerWindow\0	714	9D0
13	a,UseShortcutItem Num=0\0	715	9D1
14	a,UseShortcutItem Num=1\0	716	9D2
15	a,UseShortcutItem Num=2\0	717	9D3
16	a,UseShortcutItem Num=3\0	718	9D4
17	a,UseShortcutItem Num=4\0	719	9D5
18	a,UseShortcutItem Num=5\0	71A	9D6
19	a,UseShortcutItem Num=6\0	71B	9D7
20	a,UseShortcutItem Num=7\0	71C	9D8
21	a,UseShortcutItem Num=8\0	71D	9D9
22	a,UseShortcutItem Num=9\0	71E	9DA
23	a,UseShortcutItem Num=10\0	71F	9DB
24	a,UseShortcutItem Num=11\0	720	9DC
25	a,UseShortcutItem Num=12\0	721	9DD
26	a,UseShortcutItem Num=13\0	722	9DE
27	a,UseShortcutItem Num=14\0	723	9DF
28	a,UseShortcutItem Num=15\0	724	9E0
29	a,UseShortcutItem Num=16\0	725	9E1
30	a,UseShortcutItem Num=17\0	726	9E2
31	a,UseShortcutItem Num=18\0	727	9E3
32	a,UseShortcutItem Num=19\0	728	9E4
33	a,UseShortcutItem Num=20\0	729	9E5
34	a,UseShortcutItem Num=21\0	72A	9E6
35	a,UseShortcutItem Num=22\0	72B	9E7
36	a,UseShortcutItem Num=23\0	72C	9E8
37	a,UseShortcutItem Num=24\0	72D	9E9
38	a,UseShortcutItem Num=25\0	72E	9EA
39	a,UseShortcutItem Num=26\0	72F	9EB
40	a,UseShortcutItem Num=27\0	730	9EC
41	a,UseShortcutItem Num=28\0	731	9ED
42	a,UseShortcutItem Num=29\0	732	9EE
43	a,UseShortcutItem Num=30\0	733	9EF
44	a,UseShortcutItem Num=31\0	734	9F0
45	a,UseShortcutItem Num=32\0	735	9F1
46	a,UseShortcutItem Num=33\0	736	9F2
47	a,UseShortcutItem Num=34\0	737	9F3
48	a,UseShortcutItem Num=35\0	738	9F4
49	a,SetShortcutPage Num=0\0	739	9F5
50	a,SetShortcutPage Num=1\0	73A	9F6
51	a,SetShortcutPage Num=2\0	73B	9F7
52	a,SetShortcutPage Num=3\0	73C	9F8
53	a,SetShortcutPage Num=4\0	73D	9F9
54	a,SetShortcutPage Num=5\0	73E	9FA
55	a,SetShortcutPage Num=6\0	73F	9FB
56	a,SetShortcutPage Num=7\0	740	9FC
57	a,SetShortcutPage Num=8\0	741	9FD
58	a,SetShortcutPage Num=9\0	742	9FE
59	a,ShowWindow Name=ActionWnd\0	743	9FF
60	a,ShowWindow Name=BoardWnd\0	744	A00
61	a,ShowWindow Name=CalculatorWnd\0	745	A01
62	a,ShowWindow Name=ChatWnd\0	746	A02
63	a,ShowWindow Name=ClanWnd\0	747	A03
64	a,ShowWindow Name=DetailStatusWnd\0	748	A04
65	a,ShowWindow Name=HelpHtmlWnd\0	749	A05
66	a,ShowWindow Name=InventoryWnd\0	74A	A06
67	a,ShowWindow Name=MacroWnd\0	74B	A07
68	a,ShowWindow Name=MagicSkillWnd\0	74C	A08
69	a,ShowWindow Name=MenuWnd\0	74D	A09
70	a,ShowWindow Name=MinimapWnd\0	74E	A0A
71	a,ShowWindow Name=OptionWnd\0	74F	A0B
72	a,ShowWindow Name=PartyMatchWnd\0	750	A0C
73	a,ShowWindow Name=QuestTreeWnd\0	751	A0D
