id	shit[0]	shit[1]	shit[2]	shit[3]	shit[4]	shit[5]	shit[6]	shit[7]	shit[8]
1	1	2	2	1	2	2	1	2	2
2	1	2	2	1	2	2	1	2	2
3	1	2	2	1	2	2	1	2	2
4	1	2	2	1	2	2	1	2	2
5	1	2	2	1	2	2	1	2	2
6	1	1	2	1	1	2	1	1	2
7	1	1	2	1	1	2	1	1	2
8	1	2	2	1	2	2	1	2	2
9	1	2	2	1	2	2	1	2	2
10	1	2	2	1	2	2	1	2	2
11	1	2	2	1	2	2	1	2	2
12	1	2	2	1	2	2	1	2	2
13	1	2	2	1	2	2	1	2	2
15	1	2	2	1	2	2	1	2	2
16	1	2	2	1	2	2	1	2	2
17	1	2	2	1	2	2	1	2	2
18	1	2	2	1	2	2	1	2	2
19	1	1	2	1	1	2	1	1	2
21	1	2	2	1	2	2	1	2	2
22	1	2	2	1	2	2	1	2	2
24	1	1	2	1	1	2	1	1	2
25	1	2	2	1	2	2	1	2	2
27	1	2	2	1	2	2	1	2	2
28	1	2	2	1	2	2	1	2	2
29	1	2	2	1	2	2	1	2	2
30	1	2	2	1	2	2	1	2	2
33	1	2	2	1	2	2	1	2	2
34	1	2	2	1	2	2	1	2	2
35	1	1	2	1	1	2	1	1	2
36	1	2	2	1	2	2	1	2	2
42	1	2	2	1	2	2	1	2	2
44	1	2	2	1	2	2	1	2	2
45	1	2	2	1	2	2	1	2	2
46	1	2	2	1	2	2	1	2	2
48	1	2	2	1	2	2	1	2	2
49	1	2	2	1	2	2	1	2	2
50	1	2	2	1	2	2	1	2	2
51	1	2	2	1	2	2	1	2	2
54	1	1	2	1	1	2	1	1	2
56	1	1	2	1	1	2	1	1	2
58	1	2	2	1	2	2	1	2	2
61	1	2	2	1	2	2	1	2	2
65	1	2	2	1	2	2	1	2	2
67	1	2	2	1	2	2	1	2	2
69	1	2	2	1	2	2	1	2	2
70	1	2	2	1	2	2	1	2	2
72	1	2	2	1	2	2	1	2	2
75	1	2	2	1	2	2	1	2	2
76	1	2	2	1	2	2	1	2	2
77	1	2	2	1	2	2	1	2	2
78	1	2	2	1	2	2	1	2	2
80	1	2	2	1	2	2	1	2	2
81	1	2	2	1	2	2	1	2	2
82	1	2	2	1	2	2	1	2	2
83	1	2	2	1	2	2	1	2	2
84	1	2	2	1	2	2	1	2	2
86	1	2	2	1	2	2	1	2	2
87	1	2	2	1	2	2	1	2	2
88	1	2	2	1	2	2	1	2	2
91	1	2	2	1	2	2	1	2	2
92	1	2	2	1	2	2	1	2	2
94	1	2	2	1	2	2	1	2	2
95	1	2	2	1	2	2	1	2	2
96	1	2	2	1	2	2	1	2	2
97	1	2	2	1	2	2	1	2	2
98	1	2	2	1	2	2	1	2	2
99	1	2	2	1	2	2	1	2	2
100	1	2	2	1	2	2	1	2	2
101	1	1	2	1	1	2	1	1	2
102	1	2	2	1	2	2	1	2	2
103	1	2	2	1	2	2	1	2	2
104	1	2	2	1	2	2	1	2	2
105	1	2	2	1	2	2	1	2	2
106	1	2	2	1	2	2	1	2	2
107	1	2	2	1	2	2	1	2	2
109	1	2	2	1	2	2	1	2	2
110	1	2	2	1	2	2	1	2	2
111	1	2	2	1	2	2	1	2	2
112	1	2	2	1	2	2	1	2	2
115	1	2	2	1	2	2	1	2	2
116	1	2	2	1	2	2	1	2	2
120	1	2	2	1	2	2	1	2	2
121	1	2	2	1	2	2	1	2	2
122	1	2	2	1	2	2	1	2	2
123	1	2	2	1	2	2	1	2	2
127	1	2	2	1	2	2	1	2	2
129	1	2	2	1	2	2	1	2	2
130	1	2	2	1	2	2	1	2	2
131	1	2	2	1	2	2	1	2	2
139	1	2	2	1	2	2	1	2	2
176	1	2	2	1	2	2	1	2	2
181	1	2	2	1	2	2	1	2	2
190	1	2	2	1	2	2	1	2	2
223	1	2	2	1	2	2	1	2	2
230	1	2	2	1	2	2	1	2	2
245	1	2	2	1	2	2	1	2	2
246	1	2	2	1	2	2	1	2	2
247	1	2	2	1	2	2	1	2	2
254	1	2	2	1	2	2	1	2	2
255	1	2	2	1	2	2	1	2	2
260	1	2	2	1	2	2	1	2	2
261	1	2	2	1	1	2	1	1	2
262	1	2	2	1	2	2	1	2	2
263	1	2	2	1	2	2	1	2	2
264	1	2	2	1	2	2	1	2	2
265	1	2	2	1	2	2	1	2	2
266	1	2	2	1	2	2	1	2	2
267	1	2	2	1	2	2	1	2	2
268	1	2	2	1	2	2	1	2	2
269	1	2	2	1	2	2	1	2	2
270	1	2	2	1	2	2	1	2	2
271	1	2	2	1	2	2	1	2	2
272	1	2	2	1	2	2	1	2	2
273	1	2	2	1	2	2	1	2	2
274	1	2	2	1	2	2	1	2	2
275	1	2	2	1	2	2	1	2	2
276	1	2	2	1	2	2	1	2	2
277	1	2	2	1	2	2	1	2	2
278	1	2	2	1	2	2	1	2	2
279	1	2	2	1	2	2	1	2	2
280	1	2	2	1	1	2	1	1	2
281	1	2	2	1	2	2	1	2	2
282	1	2	2	1	2	2	1	2	2
283	1	2	2	1	2	2	1	2	2
284	1	2	2	1	2	2	1	2	2
286	1	2	2	1	2	2	1	2	2
287	1	2	2	1	2	2	1	2	2
289	1	2	2	1	2	2	1	2	2
292	1	2	2	1	2	2	1	2	2
297	1	2	2	1	2	2	1	2	2
298	1	2	2	1	2	2	1	2	2
299	1	2	2	1	2	2	1	2	2
301	1	2	2	1	2	2	1	2	2
302	1	2	2	1	2	2	1	2	2
303	1	2	2	1	2	2	1	2	2
304	1	2	2	1	2	2	1	2	2
305	1	2	2	1	2	2	1	2	2
306	1	2	2	1	2	2	1	2	2
307	1	2	2	1	2	2	1	2	2
308	1	2	2	1	2	2	1	2	2
309	1	2	2	1	2	2	1	2	2
310	1	2	2	1	2	2	1	2	2
311	1	2	2	1	2	2	1	2	2
313	1	2	2	1	2	2	1	2	2
314	1	1	2	1	1	2	1	1	2
315	1	2	2	1	2	2	1	2	2
320	1	2	2	1	2	2	1	2	2
321	1	2	2	1	2	2	1	2	2
323	1	2	2	1	2	2	1	2	2
324	1	2	2	1	2	2	1	2	2
326	1	2	2	1	2	2	1	2	2
327	1	2	2	1	2	2	1	2	2
341	1	2	2	1	2	2	1	2	2
342	1	2	2	1	2	2	1	2	2
343	1	1	2	1	1	2	1	1	2
344	1	2	2	1	2	2	1	2	2
345	1	1	2	1	1	2	1	1	2
346	1	1	2	1	1	2	1	1	2
347	1	2	2	1	2	2	1	2	2
348	1	2	2	1	2	2	1	2	2
349	1	2	2	1	2	2	1	2	2
350	1	2	2	1	2	2	1	2	2
351	1	2	2	1	2	2	1	2	2
352	1	2	2	1	2	2	1	2	2
353	1	2	2	1	2	2	1	2	2
354	1	1	2	1	1	2	1	1	2
355	1	2	2	1	2	2	1	2	2
356	1	2	2	1	2	2	1	2	2
357	1	2	2	1	2	2	1	2	2
358	1	2	2	1	2	2	1	2	2
359	1	2	2	1	2	2	1	2	2
360	1	2	2	1	2	2	1	2	2
361	1	2	2	1	2	2	1	2	2
362	1	2	2	1	2	2	1	2	2
363	1	2	2	1	2	2	1	2	2
364	1	2	2	1	2	2	1	2	2
365	1	2	2	1	2	2	1	2	2
366	1	2	2	1	2	2	1	2	2
367	1	2	2	1	2	2	1	2	2
368	1	2	2	1	2	2	1	2	2
369	1	1	1	1	1	2	1	1	2
395	1	2	2	1	2	2	1	2	2
