id	UNK_0	message	group	rgba[0]	rgba[1]	rgba[2]	rgba[3]	item_sound	sys_msg_ref	UNK_1[0]	UNK_1[1]	UNK_1[2]	UNK_1[3]	UNK_1[4]	sub_msg	type
0	1	u,與伺服器連線中斷。\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
1	1	u,伺服器將在「$s1」秒後關閉，請先行結束遊戲。\0	2	79	9B	B0	FF	a,	a,	8	0	3	1	0	u,遊戲結束：「$s1」秒\0	a,server\0
2	1	u,玩家「$s1」並不存在。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
3	1	u,玩家「$s1」尚未登入。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
4	1	u,不可邀請自己加入血盟。\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
5	1	u,「$s1」為已經存在的血盟。\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
6	1	u,「$s1」血盟並不存在。\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
7	1	u,已屬於「$s1」血盟。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
8	1	u,正在進行與血盟相關的工作。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
9	1	u,「$s1」不是血盟盟主。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
10	1	u,「$s1」正在進行與血盟相關的工作。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
11	1	u,沒有人申請加入血盟。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
12	1	u,申請加入血盟者的資料不正確。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
13	1	u,已申請參加攻城戰，故無法解散。\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
14	1	u,已擁有城堡或根據地，故無法解散。\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
15	1	u,攻城中。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
16	1	u,非攻城中。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
17	1	u,攻城戰已開始。\0	0	79	9B	B0	FF	a,ItemSound3.sys_siege_start\0	a,17\0	2	0	3	1	0	u,攻城戰開始！\0	a,none\0
18	1	u,攻城戰已結束。\0	0	79	9B	B0	FF	a,	a,18\0	2	0	3	1	0	u,攻城戰結束！\0	a,none\0
19	1	u,城主已更換！\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
20	1	u,城門已打開。\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	u,城門已打開。\0	a,none\0
21	1	u,城門已破壞。\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	u,城門已破壞。\0	a,none\0
22	1	u,目標距離太遠。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
23	1	u,HP不足。\0	0	0	50	F7	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
24	1	u,MP不足。\0	0	AD	5A	5A	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
25	1	u,恢復HP。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
26	1	u,恢復MP。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
27	1	u,受到干擾，因此施法中斷。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
28	1	u,獲得「$s1」枚金幣。\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
29	1	u,獲得「$s2」個「$s1」。\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
30	1	u,獲得「$s1」。\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
31	1	u,坐下時角色無法行動。\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
32	1	u,您已無法繼續進行戰鬥，請回到角色重生地點。\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
33	1	u,施展魔法時角色無法移動。\0	0	35	DC	FF	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
