id	bin	val1	val2	str1	str2	unk1	unk2	unk3	unk4
1	0	13077	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
1	1	13077	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
2	0	13078	1472	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
2	1	13078	1472	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
201	0	13079	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
201	1	13080	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
202	0	13079	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
202	1	13080	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
203	0	13079	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
203	1	13080	8221	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
204	0	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
204	1	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
205	0	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
205	1	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
206	0	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
206	1	13081	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
207	0	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
207	1	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
208	0	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
208	1	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
209	0	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
209	1	13082	5800	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
210	0	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
210	1	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
211	0	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
211	1	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
212	0	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
212	1	13083	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
213	0	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
213	1	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
214	0	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
214	1	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
215	0	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
215	1	13084	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
216	0	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
216	1	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
217	0	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
217	1	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
218	0	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
218	1	13085	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
251	0	13088	0	LineageEffect.s_u823_spec_trans	LineageEffect.s_u823_spec_trans	0	0	0	0
251	1	13089	0	LineageEffect.s_u823_spec_trans	LineageEffect.s_u823_spec_trans	0	0	0	0
301	0	13086	8190	LineageEffect.s_u826_zariche_trans	LineageEffect.s_u826_zariche_trans	0	0	0	0
301	1	13086	8190	LineageEffect.s_u826_zariche_trans	LineageEffect.s_u826_zariche_trans	0	0	0	0
302	0	13087	8689	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
302	1	13087	8689	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
303	0	13094	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
303	1	13094	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
101	0	13090	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
101	1	13090	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
102	0	13091	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
102	1	13091	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
103	0	13092	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
103	1	13092	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
104	0	13093	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
104	1	13093	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
304	0	13095	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
304	1	13095	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
105	0	13096	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
105	1	13096	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
3	0	13106	8205	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
3	1	13107	8208	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
4	0	13108	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
4	1	13108	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
5	0	13109	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
5	1	13109	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
6	0	13110	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
6	1	13110	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
7	0	13111	5129	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
7	1	13111	5129	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
252	0	13112	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
252	1	13112	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
253	0	13113	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
253	1	13113	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
254	0	13114	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
254	1	13114	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
255	0	13115	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
255	1	13115	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
256	0	13116	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
256	1	13116	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
257	0	13117	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
257	1	13117	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
258	0	13118	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
258	1	13118	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
305	0	13099	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
305	1	13099	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
306	0	13100	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
306	1	13100	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
307	0	13101	8203	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
307	1	13101	8203	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
308	0	13102	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
308	1	13102	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
309	0	13103	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
309	1	13103	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
310	0	13104	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
310	1	13104	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
311	0	13105	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
311	1	13105	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
259	0	13119	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
259	1	13119	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
312	0	0	0			1	0	0	0
312	1	0	0			1	0	0	0
313	0	0	0			1	0	0	0
313	1	0	0			1	0	0	0
314	0	0	0			1	0	0	0
314	1	0	0			1	0	0	0
315	0	0	0			1	0	0	0
315	1	0	0			1	0	0	0
316	0	0	0			1	0	0	0
316	1	0	0			1	0	0	0
317	0	0	0			1	0	0	0
317	1	0	0			1	0	0	0
318	0	0	0			1	0	0	0
318	1	0	0			1	0	0	0
319	0	13129	12814	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
319	1	13129	12814	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
106	0	13130	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
106	1	13130	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
320	0	13131	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
320	1	13131	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
321	0	13132	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
321	1	13132	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
322	0	13133	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
322	1	13133	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
323	0	13134	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
323	1	13134	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
107	0	13129	12814	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
107	1	13129	12814	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
108	0	13135	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
108	1	13135	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
260	0	13142	0	LineageEffect.s_u610_tran	LineageEffect.s_u610_tran	0	0	0	0
260	1	13143	0	LineageEffect.s_u610_tran	LineageEffect.s_u610_tran	0	0	0	0
8	0	13144	0		LineageEffect.s_u833_transform	0	0	0	0
8	1	13144	0		LineageEffect.s_u833_transform	0	0	0	0
9	0	13145	0		LineageEffect.s_u833_transform	0	0	0	0
9	1	13145	0		LineageEffect.s_u833_transform	0	0	0	0
219	0	13156	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
219	1	13156	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
220	0	13155	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
220	1	13155	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
221	0	13154	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
221	1	13154	0	LineageEffect.s_u618_union	LineageEffect.s_u833_transform	0	0	0	0
109	0	13146	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
109	1	13146	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
110	0	13147	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
110	1	13147	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
111	0	13157	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
111	1	13157	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
112	0	13158	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
112	1	13200	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
113	0	13159	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
113	1	13201	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
114	0	13160	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
114	1	13160	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
115	0	13161	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
115	1	13161	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
116	0	13162	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
116	1	13162	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
117	0	13163	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
117	1	13163	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
118	0	13164	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
118	1	13164	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
119	0	13165	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
119	1	13165	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
120	0	13166	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
120	1	13166	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
121	0	13167	13791	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
121	1	13167	13791	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
122	0	13168	13792	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
122	1	13168	13792	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
10	0	13169	76	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
10	1	13169	76	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
11	0	13170	129	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
11	1	13170	129	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
12	0	13171	132	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
12	1	13171	132	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
13	0	13172	298	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
13	1	13172	298	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
14	0	13173	299	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
14	1	13173	299	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
15	0	13174	9226	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
15	1	13174	9226	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
16	0	13175	2500	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
16	1	13175	2500	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
17	0	13176	15302	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
17	1	13176	15302	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
18	0	13177	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
18	1	13177	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
19	0	13178	10224	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
19	1	13178	10224	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
20	0	13179	10215	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
20	1	13179	10215	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
21	0	13180	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
21	1	13180	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
123	0	13197	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
123	1	13197	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	2	0	0	0
124	0	13090	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
124	1	13199	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
125	0	13268	0		LineageEffect.s_u833_transform	0	0	0	0
125	1	13268	0		LineageEffect.s_u833_transform	0	0	0	0
126	0	13283	0	LineageEffect.s_u833_transform	LineageEffect.s_u833_transform	0	0	0	0
