nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa
0	0	0	0	30000.00000000	-30000.00000000	u,中立海域\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
1	1	0	0	30000.00000000	-30000.00000000	u,說話之島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
2	2	0	0	30000.00000000	-30000.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
3	3	0	0	30000.00000000	-30000.00000000	u,狄恩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
4	4	0	0	30000.00000000	-30000.00000000	u,奇岩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
5	5	0	0	30000.00000000	-30000.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
6	6	0	0	30000.00000000	-30000.00000000	u,精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
7	7	0	0	30000.00000000	-30000.00000000	u,歐瑞領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
8	8	0	0	30000.00000000	-30000.00000000	u,亞丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
9	9	0	0	30000.00000000	-30000.00000000	u,因納得立領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
10	10	0	0	30000.00000000	-30000.00000000	u,薄霧山脈\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
11	11	0	0	30000.00000000	-30000.00000000	u,中立地帶\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
12	12	0	0	30000.00000000	-30000.00000000	u,龍之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
13	13	0	0	30000.00000000	-30000.00000000	u,里歐領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
14	14	0	0	30000.00000000	-30000.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
15	15	0	0	30000.00000000	-30000.00000000	u,荒原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
16	252	18	21	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
17	254	19	23	-4400.00000000	-7520.00000000	u,螞蟻洞窟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
18	251	17	22	30000.00000000	-30000.00000000	u,古魯丁競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
19	254	19	21	30000.00000000	-30000.00000000	u,古魯丁城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
20	255	19	21	30000.00000000	-30000.00000000	u,古魯丁城鎮\0	756	1932	-19968	117504	1024	1024	0.05000000	a,map_gludio_castle_town\0	0
21	255	17	22	30000.00000000	-30000.00000000	u,古魯丁村莊\0	433	2079	-89344	145792	1024	1024	0.05000000	a,map_gludin_village\0	0
22	254	17	22	30000.00000000	-30000.00000000	u,古魯丁港口\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
23	255	18	24	30000.00000000	-4200.00000000	u,朗克蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
24	253	18	23	30000.00000000	-3700.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
25	253	19	21	30000.00000000	-30000.00000000	u,雄性蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
26	253	17	20	30000.00000000	-4200.00000000	u,風之丘陵\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
27	255	18	21	30000.00000000	-30000.00000000	u,悲哀廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
28	254	18	23	-3760.00000000	-5632.00000000	u,遺忘神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
29	255	19	22	30000.00000000	-30000.00000000	u,絕望廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
30	255	17	21	30000.00000000	-30000.00000000	u,土瑞克獸人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
31	255	18	22	30000.00000000	-30000.00000000	u,荒廢的營區\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
32	255	21	25	-4874.00000000	-6874.00000000	u,精靈廢墟\0	270	2485	34830	235950	1024	1024	0.05000000	a,dungeon_map_elven_ruin\0	0
33	255	16	25	30000.00000000	-30000.00000000	u,精靈廢墟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
34	255	21	25	30000.00000000	-6873.00000000	u,中立海域\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
35	255	17	25	30000.00000000	-30000.00000000	u,說話之島村莊\0	406	2536	-90624	236416	1024	1024	0.05000000	a,map_talkin_island_village\0	0
36	253	17	25	30000.00000000	-30000.00000000	u,賽德里訓練所\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
37	254	17	25	30000.00000000	-30000.00000000	u,安赫班特魔法學院\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
38	253	16	25	30000.00000000	-30000.00000000	u,戰勝紀念塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
39	254	16	25	30000.00000000	-30000.00000000	u,歌唱的瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
40	252	17	25	30000.00000000	-30000.00000000	u,說話之島港口\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
41	253	22	22	30000.00000000	-30000.00000000	u,奇岩競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
42	255	23	22	30000.00000000	-30000.00000000	u,奇岩城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
43	255	22	22	30000.00000000	-30000.00000000	u,奇岩城鎮\0	1244	2053	73536	140032	1024	1024	0.05000000	a,map_giran_castle_town\0	0
44	255	21	23	30000.00000000	-30000.00000000	u,奇岩港口\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
45	255	24	21	30000.00000000	-30000.00000000	u,安塔瑞斯洞窟\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
46	251	22	21	30000.00000000	-30000.00000000	u,死亡迴廊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
47	254	20	22	30000.00000000	-30000.00000000	u,狄恩城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
48	255	20	22	30000.00000000	-30000.00000000	u,狄恩城鎮\0	927	2042	11840	138432	1024	1024	0.05000000	a,map_dion_castle_town\0	0
49	252	20	23	30000.00000000	-30000.00000000	u,怪物競賽場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
50	255	21	21	30000.00000000	-30000.00000000	u,反抗軍根據地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
51	255	21	22	30000.00000000	-30000.00000000	u,刑場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
52	253	20	21	30000.00000000	-4407.00000000	u,克魯瑪沼澤地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
53	255	20	21	30000.00000000	-30000.00000000	u,克魯瑪沼澤地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
54	254	20	21	30000.00000000	-4407.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
55	253	20	21	-4408.00000000	-14036.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
56	254	20	21	-4408.00000000	-30000.00000000	u,克魯瑪高塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
57	254	21	22	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
58	255	20	23	30000.00000000	-30000.00000000	u,芙羅蘭村莊\0	903	2156	11840	165120	1024	1024	0.05000000	a,map_floran_village\0	0
59	253	20	23	30000.00000000	-30000.00000000	u,蜜蜂蜂窩\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
60	255	20	14	-1952.00000000	-3952.00000000	u,試練洞窟\0	909	765	7400	-124192	1024	1024	0.05000000	a,dungeon_map_dungeon_of_trial\0	0
61	255	20	13	30000.00000000	-30000.00000000	u,冰凍瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
62	255	18	14	30000.00000000	-30000.00000000	u,半獸人村莊\0	602	743	-52736	-120832	1024	1024	0.05000000	a,map_orc_village\0	0
63	254	18	14	30000.00000000	-30000.00000000	u,帕格立歐神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
64	254	23	12	30000.00000000	-30000.00000000	u,矮人村莊\0	1417	401	110144	-187968	1024	1024	0.05000000	a,map_dwarven_village\0	0
65	255	25	12	4224.00000000	-4810.00000000	u,米索莉礦山\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
66	255	24	12	3424.00000000	-2704.00000000	u,廢棄的礦坑\0	1552	453	134800	-182650	1024	1024	0.05000000	a,dungeon_map_abaodoned_mime\0	0
67	255	23	12	30000.00000000	-30000.00000000	u,採石場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
68	255	24	20	30000.00000000	-30000.00000000	u,鏡之森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
69	255	25	19	30000.00000000	-30000.00000000	u,巨人洞穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
70	254	25	19	-5172.00000000	-30000.00000000	u,寂靜之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
71	255	25	18	30000.00000000	-30000.00000000	u,國立墓地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
72	255	24	19	30000.00000000	-30000.00000000	u,拿爾瑟湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
73	253	25	19	30000.00000000	-30000.00000000	u,忘卻平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
74	255	23	20	30000.00000000	-30000.00000000	u,獵人村莊\0	1424	1706	111104	70016	1024	1024	0.05000000	a,map_hunters_village\0	0
75	254	25	18	30000.00000000	-30000.00000000	u,席琳封印\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
76	254	24	18	30000.00000000	-30000.00000000	u,亞丁城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
77	255	24	18	30000.00000000	-30000.00000000	u,亞丁城鎮\0	1574	1446	139264	16384	1024	1024	0.05000000	a,map_town_of_aden\0	0
78	254	25	20	30000.00000000	-30000.00000000	u,昂赫瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
79	251	23	18	6944.00000000	5952.00000000	u,傲慢之塔：第10層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
80	251	23	18	7952.00000000	6976.00000000	u,傲慢之塔：第11層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
81	251	23	18	8960.00000000	7968.00000000	u,傲慢之塔：第12層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
82	251	23	18	10048.00000000	8976.00000000	u,傲慢之塔：第13層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
83	251	23	18	12000.00000000	10064.00000000	u,傲慢之塔：第14層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
84	251	23	18	-3728.00000000	-10000.00000000	u,傲慢之塔：第1層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
85	251	23	18	-2192.00000000	-3680.00000000	u,傲慢之塔：第2層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
86	251	23	18	-704.00000000	-2128.00000000	u,傲慢之塔：第3層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
87	251	23	18	784.00000000	-688.00000000	u,傲慢之塔：第4層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
88	251	23	18	1872.00000000	896.00000000	u,傲慢之塔：第5層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
89	251	23	18	2912.00000000	1888.00000000	u,傲慢之塔：第6層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
90	251	23	18	3920.00000000	2928.00000000	u,傲慢之塔：第7層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
91	251	23	18	4928.00000000	3952.00000000	u,傲慢之塔：第8層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
92	251	23	18	5936.00000000	4944.00000000	u,傲慢之塔：第9層\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
93	254	24	19	30000.00000000	-30000.00000000	u,大圓形競技場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
94	255	25	17	30000.00000000	-4220.00000000	u,毀壞的城堡\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
95	255	24	17	30000.00000000	-30000.00000000	u,燃燒的沼澤\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
